Model,Morphology,Operation,Kernel Size,DPSGD,epsilon,true_label,predicted_label,loss,accuracy,f1
NestedUNet,True,both,3,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1.
 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.81772661 0.86200869 0.81497693 0.89101821 0.85686666 0.83967233
 0.8106941  0.86934805 0.81911087 0.8310042  0.83302736 0.84925705
 0.8037135  0.82262117 0.8220138  0.8067084  0.84321833 0.81967103
 0.83486557 0.80860555 0.86747146 0.82341719 0.83874321 0.81772387
 0.82994604 0.8641817  0.85930806 0.86960989 0.85427779 0.82622111
 0.85953891 0.8850168  0.90061069 0.99219197 0.84094572 0.85425216
 0.86047435 0.91161948 0.88084185 0.83398515]",0.675,0.6285714285714286
NestedUNet,True,both,3,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.82553887 0.86024368 0.81281185 0.82267648 0.81479341 0.88909763
 0.84251237 0.80190814 0.80989391 0.84220409 0.80342638 0.82687962
 0.79612291 0.82959193 0.81184244 0.79335099 0.81148565 0.85187399
 0.81042135 0.81547523 0.83422375 0.86796379 0.83251613 0.82018894
 0.86536014 0.84155208 0.83239973 0.81286907 0.81676131 0.86853522
 0.8499034  0.88716346 0.8953445  0.98805243 0.83094847 0.8499735
 0.86263174 0.92444402 0.90417045 0.83111805]",0.75,0.6875
NestedUNet,False,,,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0.
 1. 1. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]","[0.81849295 0.83707446 0.80820251 0.81388801 0.8323797  0.81000316
 0.81775647 0.8756631  0.8795594  0.83553427 0.79945242 0.82442063
 0.81533051 0.8210054  0.81605977 0.90927392 0.8650589  0.85408694
 0.8215993  0.81229174 0.84159446 0.85935229 0.82580268 0.84588945
 0.82496446 0.82913148 0.82151479 0.83340931 0.87001836 0.81511343
 0.84658933 0.87244952 0.89590031 1.00290394 0.82857364 0.85807687
 0.84399939 0.86545205 0.87323511 0.82830799]",0.675,0.6976744186046512
NestedUNet,False,,,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0.
 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]","[0.82276773 0.83392358 0.8119967  0.81140065 0.80681419 0.81142211
 0.87342143 0.8152957  0.82322353 0.84464037 0.86207581 0.81516147
 0.8669225  0.83045208 0.88642013 0.81494468 0.82035136 0.81239611
 0.80281091 0.79776525 0.82880074 0.84524691 0.81837809 0.87004316
 0.8281216  0.84363377 0.86562169 0.86867613 0.83464503 0.81714177
 0.85171276 0.8832711  0.91294724 1.15526104 0.83044708 0.85783744
 0.86183226 0.89179105 0.89210457 0.83634835]",0.675,0.7111111111111111
NestedUNet,True,close,3,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1.
 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.82511562 0.86010367 0.86853433 0.85401821 0.93137264 0.84918141
 0.90109372 0.83188701 0.84410512 0.8371731  0.82519239 0.86718374
 0.81363696 0.82062697 0.83073604 0.85906518 0.84758729 0.81620121
 0.90158832 0.81600046 0.8243733  0.8549878  0.85719287 0.81731206
 0.82314354 0.8277036  0.81913537 0.83540803 0.84490776 0.81605518
 0.843705   0.87339664 0.88849819 0.96831262 0.8300398  0.84808904
 0.8403616  0.86566651 0.86557537 0.83659536]",0.5,0.375
NestedUNet,True,close,3,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1.
 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]","[0.80744219 0.89765042 0.82486182 0.79699367 0.83193314 0.79909813
 0.8105095  0.83577138 0.80735242 0.80844373 0.79608488 0.83283663
 0.82157874 0.82846731 0.85886067 0.80467516 0.8294574  0.84769726
 0.81540835 0.81718415 0.81182408 0.82022023 0.83830291 0.82092887
 0.85156083 0.83068949 0.8450774  0.82271385 0.80959433 0.85859013
 0.84888488 0.8923856  0.91099757 1.03646874 0.82495773 0.85811359
 0.83777267 0.8961935  0.88321972 0.84269828]",0.725,0.7441860465116279
NestedUNet,True,open,3,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1. 0. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]","[0.79704386 0.87855631 0.81954807 0.80294257 0.85625601 0.81741434
 0.83040893 0.88350326 0.86258543 0.80452853 0.82474184 0.8133803
 0.82568908 0.8145436  0.84383643 0.83714068 0.83550793 0.82744169
 0.82256556 0.81315231 0.82068509 0.82244098 0.81412667 0.83349442
 0.85131818 0.85310417 0.83766377 0.8229354  0.85035038 0.81535673
 0.85183418 0.87916559 0.88050193 0.96444529 0.82689983 0.85096508
 0.84541601 0.88045979 0.87005812 0.82326514]",0.675,0.7111111111111111
NestedUNet,True,open,3,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 0. 0.
 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]","[0.84351432 0.87684745 0.85059899 0.83611214 0.82978457 0.86866426
 0.83080268 0.84285754 0.87974423 0.83216316 0.8354075  0.88655269
 0.8280645  0.8192246  0.8342616  0.84203249 0.82277399 0.82976419
 0.83556199 0.82074302 0.81439704 0.82779515 0.85304105 0.85106671
 0.83367711 0.82185042 0.8595463  0.85807526 0.83511466 0.81738567
 0.84609848 0.87167752 0.89278466 1.12347472 0.825423   0.84908283
 0.84198582 0.87545812 0.87548178 0.82552284]",0.55,0.5
NestedUNet,True,both,3,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 0. 0.
 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.82821304 0.8351627  0.82461047 0.85633594 0.81092513 0.87710655
 0.81418371 0.83749765 0.90828443 0.83856499 0.85161084 0.88124979
 0.80354154 0.81966609 0.81006503 0.8150208  0.81910688 0.85278457
 0.79734772 0.86689878 0.81340086 0.83928013 0.84737778 0.86102682
 0.81224287 0.86443305 0.81914109 0.83089191 0.83638084 0.82267141
 0.85604233 0.89064157 0.89749068 0.95360899 0.83171159 0.85096729
 0.85332334 0.85907179 0.87319088 0.82256138]",0.625,0.5161290322580645
NestedUNet,True,both,3,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0.
 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]","[0.81000036 0.83252466 0.80793506 0.82428342 0.84757382 0.87387931
 0.91861075 0.81866753 0.82165611 0.88615483 0.84011537 0.88656616
 0.86828554 0.84295189 0.88917178 0.87062478 0.83121878 0.81828904
 0.83459812 0.82966411 0.81867313 0.82771504 0.85559744 0.8546859
 0.81584328 0.85075974 0.82770121 0.82979614 0.85978109 0.83102226
 0.85062599 0.87994838 0.86931801 1.18299723 0.82655203 0.85251325
 0.85774678 0.89066076 0.88117898 0.83409315]",0.6,0.6
NestedUNet,False,,,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.8241322  0.81966484 0.81047565 0.79472643 0.80832726 0.84576905
 0.8015039  0.80339795 0.79926789 0.80169857 0.8435989  0.83185261
 0.84068143 0.81444252 0.80098516 0.81994951 0.80247664 0.79103434
 0.80230004 0.8615768  0.86295664 0.83416998 0.82299328 0.84925252
 0.83431929 0.83319926 0.86128658 0.84215683 0.83489442 0.86282831
 0.85381639 0.8855021  0.91112834 0.97508943 0.83437395 0.88724422
 0.86517096 0.88402462 0.88832396 0.83099997]",0.85,0.8235294117647058
NestedUNet,False,,,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 1. 1. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1.
 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]","[0.84066129 0.79877144 0.79779923 0.84668231 0.85313582 0.81157643
 0.88384134 0.82988584 0.79080689 0.80133605 0.81047928 0.83124369
 0.79493767 0.79868418 0.82859796 0.85229492 0.81510353 0.80567837
 0.80771315 0.80520195 0.81839591 0.82853281 0.86258954 0.81422728
 0.844473   0.8253898  0.86408609 0.86483741 0.83102924 0.82015228
 0.8571797  0.88097537 0.90896428 0.94073558 0.83722031 0.88072026
 0.86888874 0.89010257 0.89751053 0.82215559]",0.7,0.7142857142857143
NestedUNet,True,close,3,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1.
 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]","[0.79517537 0.81423616 0.79301471 0.83421433 0.80890572 0.81672436
 0.80194443 0.82332748 0.81010115 0.81073189 0.80506605 0.81772834
 0.80387831 0.81897217 0.8174631  0.85017431 0.81119901 0.79933155
 0.7946313  0.82387096 0.85999209 0.82594353 0.87286955 0.82369208
 0.83822083 0.86032784 0.81525099 0.81372321 0.85589314 0.821271
 0.85963917 0.89259243 0.92994905 0.97480255 0.82326204 0.86292011
 0.86122537 0.88339031 0.8546474  0.82356256]",0.8,0.8260869565217391
NestedUNet,True,close,3,False,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.8644433  0.82317972 0.81960034 0.8737421  0.82297051 0.81969279
 0.91782272 0.84837019 0.91917646 0.83993173 0.83892536 0.83169961
 0.81789875 0.84446794 0.84468758 0.86011904 0.85252106 0.8314712
 0.87930959 0.95810747 0.84971291 0.82576042 0.84369898 0.82948828
 0.82221162 0.81148881 0.82197028 0.86835521 0.81618083 0.86341882
 0.84652996 0.87348926 0.88615161 1.14054179 0.82376206 0.84832478
 0.83735847 0.86032504 0.85735077 0.82727081]",0.475,0.0
